Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,104.00413304052572,115.36453636391526,30.68199172042655,13308.976250461128,26.530748818702353,0.3568645572835112,110.15632495139914,0.09684110679717114,45,15,10
10,125.31076428224694,144.43281996463332,34.545536779204916,20860.839482936186,30.010843124490687,0.22385087363728495,120.81447178601996,0.13317644116178926,45,15,10
20,96.98832186394627,118.6621936202375,29.820085391084582,14080.716194766735,24.49628656080382,0.12704220023153268,76.54194446173034,0.09974807469292883,45,15,10
30,100.18967350571042,116.3085318804345,37.38212643174333,13527.674588182048,29.784507695858984,-0.6828033366842929,99.95171268202395,0.13484163211302416,45,15,10
40,110.07930829247847,119.30691386906594,33.8659924641891,14234.13969696072,28.751047305914206,0.385597449023081,98.84582502198839,0.11180202768011066,45,15,10
50,199.34444396838344,310.7620825219689,33.75048611082956,96573.07193339102,34.598736004115246,0.07209418583323357,108.86308134077876,0.20577575507595527,45,15,10
60,197.39325028033164,223.18435769779097,3233.5977644710824,49811.25752097551,52.19830382974674,0.3134181413525927,185.4046707852399,2.203516734568786,45,15,10
