Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,152.53729239273144,233.68434908085942,24.619791058585214,54608.37500534496,27.40806737934067,0.05608025581236975,98.57068032769456,0.11583493981157238,90,15,5
5,199.44138907225195,311.654209349427,33.667588944632044,97128.34620521647,34.58362393227951,0.06675892813697404,104.16091361258901,0.20691262830592744,90,15,5
10,197.70031913662618,307.8572066851498,35.78594328475983,94776.05970798303,35.096821127880524,0.11263821521840012,102.09997846049771,0.2036768010030105,90,15,5
15,198.12228646942083,224.65619738482346,3242.1963074598393,50470.407023408756,52.21626641098991,0.30433264315338426,180.31826451602603,2.2063104698870686,90,15,5
