Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,139.7293966233388,201.96818521713433,35.35215069911771,40791.147839902675,31.126495586846186,0.1861880629220145,106.25699942800199,0.15741265403331148,30,30,15
15,118.42575633166528,134.280205724941,36.244919942312656,18031.17364953248,30.327674374764708,0.2339627179530075,113.7143213110559,0.13152243568947583,30,30,15
30,113.87401942342913,134.49526575255263,37.04370104896472,18088.97650984976,30.354056935052824,0.009542244104506326,99.98234503674274,0.13666688633606144,30,30,15
45,125.51550231436762,184.1615885801876,31.410606471638918,33915.49070837829,28.384624897152428,0.20843317372717007,92.040297872267,0.12619991826025154,30,30,15
60,174.6964800692742,254.81043919738815,1679.4545892734054,64928.35992396584,38.96458940384872,0.10478906621107831,116.7943661848247,1.178652967140921,30,30,15
