Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,108.06635577116695,126.58877924323714,32.771204355090056,16024.719030293027,27.552553682809656,0.22787231668389651,109.54627451023242,0.11589785754748709,45,35,10
10,117.45105369610798,135.2596319433773,39.149378963266095,18295.16803345789,31.28643719587853,0.05862749921869004,118.49820776140757,0.14697903937964618,45,35,10
20,107.09317985494238,123.3290641129621,33.86222399181002,15210.058054979116,27.606943684106543,0.150832193927524,89.31029713243129,0.11593305582739663,45,35,10
30,143.19487776856204,221.12690777314933,33.98762696013196,48897.109341314885,30.80038990957208,0.17769764486163786,96.58323492693216,0.15621196483782435,45,35,10
40,168.28055079577567,242.07285736845705,1452.774645241243,58599.26827452935,39.48001405006438,0.130417452608238,119.0938507048142,1.044456785267757,45,35,10
