Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,172.39881567912533,260.106178716664,38.83929699685479,67655.22420658513,34.98833068510125,0.13005097554886036,111.5833773757962,0.21299275638629034,30,15,10
10,78.2195136586025,93.80513601362708,22.48300491014645,8799.403542535076,20.47976277808105,0.31530582068567015,79.16655858646993,0.06428164832425885,30,15,10
20,100.26611711187785,117.77083408035038,32.783663734221314,13869.96935998142,26.455085886328717,0.40728135200437077,106.44092761015122,0.11952216180812085,30,15,10
30,124.82007611377499,147.12629947057377,35.667423040389465,21646.147995904957,31.228061833982895,0.1794346970585612,130.35208872281788,0.1360091266825729,30,15,10
40,80.79713264075856,95.89035170507665,28.708050606099068,9194.959550123296,23.114300408199064,-0.2781933729673567,71.18211281597644,0.0902811499187784,30,15,10
50,112.14978340318251,125.55637403107313,38.24464214438479,15764.403059830734,30.850536679521888,0.01527844110369192,101.55095642532694,0.1343120147024537,30,15,10
60,154.2948600977498,234.84917795761774,25.29454564534566,55154.13638736881,27.82802883714454,0.046646630584425974,108.65444699659525,0.11898523179949934,30,15,10
70,196.6931995711148,306.8877340619608,35.61227591615367,94180.0813176848,34.91755549723707,0.11821819448463844,99.7530871612019,0.20132127808639083,30,15,10
