Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,151.5168212890625,200.83605049680835,37.415236812404615,40335.11917915655,36.30327758158046,-0.4174960412900617,117.33358001708984,0.20375886280747024,30,40,5
5,113.90068054199219,152.87057991907508,26.231904670679064,23369.41420479432,28.81240679666645,-0.23302268445550856,74.48028564453125,0.1403705696546443,30,40,5
10,101.21030044555664,140.2898516039372,23.2930967285444,19681.242463054718,25.986437232754433,-0.029808939493503495,65.9931640625,0.12229391272541426,30,40,5
