Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,134.27784678141276,187.9085185988844,29.0054854517089,35309.61136202729,32.0095481491567,-0.06560396242532107,102.04353332519531,0.16828516631893126,30,30,5
5,135.16805725097657,173.75829937367615,29.621711404594386,30191.946601232063,33.2255362374548,-0.4837192873970162,111.78556823730469,0.17780718448935906,30,30,5
10,117.722802734375,156.90933884955118,26.344417669520066,24620.54061820327,29.475145360638923,-0.04984337059803523,82.14817810058594,0.14751742800011858,30,30,5
15,109.102956644694,146.9365580581332,26.42579161791075,21590.35209397114,27.208101954532772,-0.06771437815286974,87.37767028808594,0.12675968199874743,30,30,5
20,121.47305908203126,155.73399877793182,31.068436936900156,24253.078375364872,30.051809168129584,-0.37980154479145267,100.56902313232422,0.13824383260689027,30,30,5
