Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,151.5168212890625,200.83605049680835,37.415236812404615,40335.11917915655,36.30327758158046,-0.4174960412900617,117.33358001708984,0.20375886280747024,30,40,2
2,130.25335464477538,158.94577928397442,35.07842568566823,25263.760752189915,33.449213360130145,-0.2899317079867958,112.50408935546875,0.16538540818259095,30,40,2
4,110.1572208404541,144.71483843719642,27.47209878207243,20942.38446390386,29.104478346871964,-0.1494640541879233,89.71942138671875,0.14714595380381226,30,40,2
6,118.52725296020508,150.08880973496724,28.93272642410192,22526.6508076592,30.20045824273599,-0.1778831870037736,95.16706848144531,0.13814484119160317,30,40,2
8,109.54091186523438,147.85272064541712,24.593178168755205,21860.427002251752,27.814956187483386,-0.14257556654329973,75.68016052246094,0.13120952350610784,30,40,2
10,101.21030044555664,140.2898516039372,23.2930967285444,19681.242463054718,25.986437232754433,-0.029808939493503495,65.9931640625,0.12229391272541426,30,40,2
12,101.63509483337403,136.51558556622237,24.205937081093516,18636.50510248858,26.27152588343759,0.039160731889855804,85.29554748535156,0.1126449659979355,30,40,2
14,97.65023155212403,133.35799467380414,25.401781654330946,17784.35474341837,25.445124325143425,0.047357211238948094,64.127685546875,0.11123577349704679,30,40,2
