Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,95.03110298684362,111.8454915579734,26.931696021684438,12509.4139818447,23.965855697576416,0.39725215654734636,84.66006371050207,0.07949481562977137,45,35,15
15,88.48762519693491,115.3125064260914,22.78483016327801,13296.974138267371,23.341641766784086,0.3037860296315258,64.63013869546347,0.08145058517546472,45,35,15
30,128.3940799992294,226.1597660582818,25.1071032974451,51148.23978353676,26.600721197929783,0.13984039952957816,69.1684059563666,0.13231228844647086,45,35,15
