Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,139.38779067917,183.0746593042945,36.65445968732071,33516.33087938351,31.283476555068646,0.3313257507792928,115.28957777977567,0.14245225042306603,30,30,15
15,94.49835108541542,113.785591028461,25.44391930987287,12947.160725696185,24.328962560790693,0.4499521769735143,85.53816742802144,0.08044943264904013,30,30,15
30,88.55066888844782,111.74296708576209,25.54182635859064,12486.49069312971,24.109817345766075,0.3163050687697565,75.66318581007161,0.08231761712591171,30,30,15
45,128.34180422032628,203.87836402275894,27.01534112583925,41566.387316596614,28.60156119910598,0.029865922603398154,104.4711828882416,0.13268794792307806,30,30,15
60,171.66662957126047,282.704965755224,1366.3118507781953,79922.09766266239,38.28580713542693,-0.10193967262913217,81.6148767207477,1.1443329973194072,30,30,15
