Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,136.62139326231332,176.8265994672648,37.551618716092456,31267.646279156488,31.51000953398137,0.34483401642303446,116.14422540426193,0.14691233626070319,30,35,15
15,83.14822903676385,105.64445087794003,22.343128069678595,11160.750001301483,21.39788706078423,0.46223556080549055,80.29059187649432,0.06933250591113248,30,35,15
30,91.78447069932777,113.89269626923563,25.503778971358628,12971.546263476359,24.30715781800882,0.32082505147370477,75.91345009197693,0.08309584605718434,30,35,15
45,141.51934835567909,239.54583904855963,27.541027308392955,57382.209005478435,29.628403905426044,0.03500378153483308,98.39348189070381,0.15590122755248212,30,35,15
