Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,174.5315541045474,267.98834534481074,27.619745518170113,71817.75324064953,33.55021875296618,-0.24138825336606473,124.77921128438129,0.18727905680179244,90,15,5
5,173.5014375402502,305.129963560903,24.20827911729985,93104.29466267797,28.36592078381792,0.10542333787433444,60.64386890907252,0.17066125890856057,90,15,5
10,167.60505666530014,295.4947045334327,25.148173536931978,87317.12040730068,27.305928665151907,0.1824741812927907,72.05253940110578,0.15560323238920815,90,15,5
15,238.38829166799388,263.71517099703027,3733.9597125610917,69545.69141399293,58.2097321775161,0.04140524756213415,235.1847941873218,2.36308077236276,90,15,5
