Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,102.63322297626286,117.92484116508047,29.41885402277534,13906.268163809456,26.120161658037393,0.40920540866193555,87.50317564989095,0.08981552113669865,45,30,10
10,99.33535825552538,116.41089304328027,28.08269636145845,13551.49601913404,25.12606024588033,0.291840950623646,96.6995053095894,0.08530717055409906,45,30,10
20,85.57601511557297,103.91647524699553,24.4998401143032,10798.633827759435,22.882344910956984,0.3354645526352683,71.34976805787525,0.07112163255764657,45,30,10
30,118.08310665963326,195.8960720065294,25.231087168302718,38375.271027587354,26.235542688942736,0.10434462659380173,74.2144346533828,0.1189539825984857,45,30,10
40,150.65603092568202,254.19962997540628,28.361704324639124,64617.451879633474,30.29208204578721,0.04204849971562208,101.2995063966876,0.1658832997578531,45,30,10
