Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,139.38779067917,183.0746593042945,36.65445968732071,33516.33087938351,31.283476555068646,0.3313257507792928,115.28957777977567,0.14245225042306603,30,30,10
10,94.03413395880952,113.21655221542082,26.019059871478223,12817.98769554711,23.137281201608513,0.37194175454080425,73.57865013893041,0.08022412064889343,30,30,10
20,87.15761217925865,107.2728270914549,24.919490919409355,11507.459432193182,22.676308166086205,0.42446191290802193,70.89873651431299,0.07821054905576992,30,30,10
30,88.55066888844782,111.74296708576209,25.54182635859064,12486.49069312971,24.109817345766075,0.3163050687697565,75.66318581007161,0.08231761712591171,30,30,10
40,87.1873946573936,101.72366142152835,26.224930440466625,10347.703293001734,23.514421557410373,0.34951947256415994,88.29383847074408,0.07846127440620837,30,30,10
50,151.9842157115417,254.3671912294729,29.820513870780974,64702.66797397123,31.029811910098175,0.053586966715700735,102.85742107137801,0.17189665998671907,30,30,10
60,171.66662957126047,282.704965755224,1366.3118507781953,79922.09766266239,38.28580713542693,-0.10193967262913217,81.6148767207477,1.1443329973194072,30,30,10
