Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,172.40480685312608,207.53155157778576,52.91557808985652,43069.344900283155,40.9906874227026,-0.3673873338335021,142.37622041302689,0.26367174404363874,30,25,8
8,147.80904511852242,199.05140916951967,32.599477485806666,39621.46349237154,38.27519703725209,-0.6461034925773512,111.15830193821358,0.2920126950491959,30,25,8
16,105.73682124665629,128.77950274647054,29.581205480533797,16584.16032762821,28.874050237773652,0.25398645883228055,94.45792982699913,0.13416310542012297,30,25,8
24,140.13605810433475,191.51739553552082,38.51884629588359,36678.91279270913,29.959711143519602,-1.0276989225362625,106.96693707527339,0.14730630562678473,30,25,8
