Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,153.55524922027672,201.81201680200112,45.122658358047,40728.09012569118,36.50017905748433,-0.43130620901463645,126.2409192273189,0.2407244325698163,30,40,5
5,132.07616838201156,161.14537700432976,38.51785448509669,25967.832529867566,31.85984235413412,-0.37012106058266525,111.91758145330178,0.15685101076036365,30,40,5
10,119.9146522611738,160.25452964049106,29.95933758896292,25681.51427029503,32.74927200278029,-0.3437694812675445,91.73557347745347,0.20283318159044916,30,40,5
