Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,183.23844111343942,227.3523980135345,53.9486422300931,51689.11288250461,41.91412240245026,-0.5599187127015786,141.54003306700247,0.29417879497971433,30,30,8
8,133.46715946269586,184.31998722900968,30.263401628628035,33973.8576921023,35.17622099549267,-0.5428431028515963,88.0842374514246,0.2526319597682327,30,30,8
16,116.38775223097794,140.82799176287648,33.01889490659654,19832.523263964806,30.45418570727873,0.00980461412349587,103.18818103757525,0.14333580473514784,30,30,8
24,136.6947378974609,183.85080631165906,39.91924460598179,33801.11898144717,30.964447912750394,-0.8507725097045198,114.03331574224694,0.15133431571702516,30,30,8
