Iterations,MAE,RMSE,MAPE,MSE,SMAPE,R2,MEDEA,MSLE,input_window_size,horizon,stride
0,183.23844111343942,227.3523980135345,53.9486422300931,51689.11288250461,41.91412240245026,-0.5599187127015786,141.54003306700247,0.29417879497971433,30,30,5
5,137.77526428989896,164.8698582777148,36.734644504086646,27182.070168513765,31.866412104537,-0.3358052832127476,131.61321739621079,0.14716012536655373,30,30,5
10,129.58065014606356,174.75617149485373,31.429299832383244,30539.719475538728,35.17132743386336,-0.3022428113383091,85.39569804281817,0.239868394057995,30,30,5
15,145.15938024371002,176.10886930321973,41.79910561126864,31014.333847258527,34.274033327751965,-0.5337614705597131,118.7290907006294,0.1642823407159135,30,30,5
20,138.5582734634285,157.27396755187266,40.31648752391025,24735.100869507496,32.77213270920222,-0.40722467730059453,148.23700570085526,0.13926020596392039,30,30,5
